Statistical profiling result from bloq-v8.log, (4064 ticks, 54 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     46    1.1%          /usr/lib/system/libsystem_malloc.dylib
     36    0.9%          /usr/lib/system/libsystem_platform.dylib
     20    0.5%          /usr/lib/system/libsystem_kernel.dylib
     11    0.3%          /usr/lib/system/libsystem_m.dylib
      6    0.1%          /usr/lib/system/libsystem_pthread.dylib
      5    0.1%          /usr/lib/system/libsystem_c.dylib
      3    0.1%          /usr/lib/libc++.1.dylib
      1    0.0%          /usr/lib/libobjc.A.dylib
      1    0.0%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    216    5.3%    5.5%  LazyCompile: *calcularRandoms file:///Users/tato/js/backend-32190/clase-32/1-ejercicio-1/server.js:5:25
     38    0.9%    1.0%  RegExp: [\u001B\u009B][[\]()#;?]*(?:(?:(?:[a-zA-Z\d]*(?:;[-a-zA-Z\d\/#&.:=?%@~_]*)*)?\u0007)|(?:(?:\d{1,4}(?:;\d{0,4})*)?[\dA-PR-TZcf-ntqry=><~]))
     34    0.8%    0.9%  LazyCompile: *next /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/router/index.js:177:16
     30    0.7%    0.8%  LazyCompile: *groupArrayElements internal/util/inspect.js:1261:28
     20    0.5%    0.5%  LazyCompile: *_storeHeader _http_outgoing.js:360:22
     18    0.4%    0.5%  LazyCompile: *formatValue internal/util/inspect.js:738:21
     13    0.3%    0.3%  LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     10    0.2%    0.3%  LazyCompile: *header /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:777:29
      8    0.2%    0.2%  LazyCompile: *Writable.write internal/streams/writable.js:258:36
      7    0.2%    0.2%  LazyCompile: *parserOnIncoming _http_server.js:809:26
      7    0.2%    0.2%  LazyCompile: *nextTick internal/process/task_queues.js:101:18
      7    0.2%    0.2%  LazyCompile: *formatRaw internal/util/inspect.js:807:19
      6    0.1%    0.2%  LazyCompile: *send /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/express/lib/response.js:111:25
      6    0.1%    0.2%  LazyCompile: *inspect internal/util/inspect.js:284:17
      6    0.1%    0.2%  LazyCompile: *formatArray internal/util/inspect.js:1509:21
      6    0.1%    0.2%  LazyCompile: *end _http_outgoing.js:769:45
      6    0.1%    0.2%  LazyCompile: *ReadableState internal/streams/readable.js:90:23
      6    0.1%    0.2%  LazyCompile: *Readable.read internal/streams/readable.js:390:35
      5    0.1%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      4    0.1%    0.1%  LazyCompile: *setHeader _http_outgoing.js:556:57
      4    0.1%    0.1%  LazyCompile: *matchKnownFields _http_incoming.js:157:26
      3    0.1%    0.1%  LazyCompile: *parserOnHeadersComplete _http_common.js:75:33
      3    0.1%    0.1%  LazyCompile: *normalizeParseOptions /Users/tato/js/backend-32190/clase-32/1-ejercicio-1/node_modules/qs/lib/parse.js:204:59
